Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge,Pos,Num,Height,Weight,DOB
Moritz Seider,DET,82,6,37,43,-13,20,40,141,95,62,207,46,29,190,0,0,0.0,2023,"832,500","863,333",both,D,53,76.0,204.0,4/6/01
Lucas Raymond,DET,74,17,28,45,-17,11,24,134,72,39,43,27,33,20,5,11,31.25,2023,"832,500","925,000",both,LW,23,71.0,176.0,3/28/02
Michael Rasmussen,DET,56,10,20,30,2,20,43,86,29,33,119,8,18,48,204,195,51.13,2023,"1,900,000","1,460,000",both,C,27,78.0,211.0,4/17/99
David Perron,DET,82,23,32,55,-7,26,52,193,83,72,107,32,40,24,2,9,18.18,2023,"5,150,000","4,750,000",both,LW,57,73.0,196.0,5/28/88
Ben Chiarot,DET,76,5,14,19,-30,24,51,110,76,45,147,19,9,163,0,0,0.0,2023,"5,250,000","4,750,000",both,D,8,75.0,232.0,5/9/91
Dylan Larkin,DET,80,32,47,79,-8,17,45,246,115,104,47,47,56,27,736,619,54.32,2023,"10,000,000","8,700,000",both,C,71,73.0,198.0,7/30/96
Andrew Copp,DET,82,9,33,42,3,11,25,119,42,42,32,44,26,45,645,654,49.65,2023,"6,250,000","5,625,000",both,C,18,73.0,199.0,7/8/94
Kent Johnson,CBJ,79,15,24,39,-19,7,14,124,54,40,15,40,26,30,41,98,29.5,2023,"832,500","925,000",both,,,,,
Reese Johnson,CHI,57,4,2,6,-15,12,38,53,17,19,178,7,13,23,120,106,53.1,2023,"850,000","800,000",both,C,52,73.0,193.0,7/10/98
Nazem Kadri,CGY,82,24,31,55,-18,20,56,273,111,116,101,51,34,31,590,657,47.31,2023,"4,500,000","7,000,000",both,,,,,
Elias Lindholm,CGY,80,23,41,64,7,7,14,186,76,79,98,33,42,49,860,678,55.92,2023,"4,850,000","4,850,000",both,,,,,
Chris Tanev,CGY,65,1,12,13,8,9,21,75,64,24,51,34,24,130,0,0,0.0,2023,"4,500,000","4,500,000",both,,,,,
Nikita Zadorov,CGY,82,14,8,22,12,32,80,130,93,43,174,57,31,75,0,0,0.0,2023,"3,750,000","3,750,000",both,,,,,
Andrew Mangiapane,CGY,82,17,26,43,12,20,40,182,87,74,86,32,48,26,5,9,35.71,2023,"5,800,000","5,800,000",both,,,,,
Noah Hanifin,CGY,81,7,31,38,0,14,33,179,128,84,76,54,58,130,0,0,0.0,2023,"4,950,000","4,950,000",both,,,,,
Rasmus Andersson,CGY,79,11,39,50,3,13,26,160,81,64,50,54,29,138,0,0,0.0,2023,"4,550,000","4,550,000",both,,,,,
MacKenzie Weegar,CGY,81,4,27,31,14,20,43,163,132,73,189,62,39,121,0,0,0.0,2023,"4,250,000","6,250,000",both,,,,,
Mikael Backlund,CGY,82,19,36,55,23,17,36,262,80,85,98,44,61,33,716,694,50.78,2023,"5,350,000","5,350,000",both,,,,,
Jonathan Huberdeau,CGY,79,15,39,54,3,17,34,126,48,59,65,62,34,27,5,10,33.33,2023,"3,500,000","10,500,000",both,,,,,
Blake Coleman,CGY,82,18,20,38,8,25,54,188,68,76,109,32,36,40,21,22,48.84,2023,"5,900,000","4,900,000",both,,,,,
Miro Heiskanen,DAL,79,11,62,73,12,16,32,205,160,75,49,65,53,96,0,0,0.0,2023,"10,000,000","8,450,000",both,D,4,73.0,197.0,7/18/99
Nils Lundkvist,DAL,60,6,10,16,-5,13,26,94,67,35,49,32,6,68,0,0,0.0,2023,"832,500","925,000",both,D,5,71.0,190.0,7/27/00
Tyler Seguin,DAL,76,21,29,50,2,12,24,192,47,65,85,36,29,24,483,397,54.89,2023,"2,950,000","9,850,000",both,C,91,73.0,207.0,1/31/92
Joe Pavelski,DAL,82,28,48,76,42,4,8,185,74,78,93,57,32,64,367,321,53.34,2023,"3,500,000","3,500,000",both,C,16,71.0,196.0,7/11/84
Jason Robertson,DAL,82,46,63,109,38,10,20,309,152,98,57,67,62,19,0,1,0.0,2023,"8,000,000","7,750,000",both,LW,21,75.0,202.0,7/22/99
Wyatt Johnston,DAL,82,24,17,41,6,10,20,163,73,49,23,56,48,32,147,196,42.86,2023,"832,500","894,167",both,C,53,73.0,184.0,5/14/03
Michael McCarron,NSH,34,2,2,4,-3,9,24,39,16,17,75,2,7,20,63,43,59.43,2023,"775,000","775,000",both,,,,,
Mason Marchment,DAL,68,12,18,30,-6,29,80,149,54,62,88,41,38,39,10,15,40.0,2023,"4,800,000","4,500,000",both,LW,27,76.0,216.0,6/18/95
Radek Faksa,DAL,81,11,9,20,8,18,39,86,22,33,90,18,26,69,309,243,55.98,2023,"4,000,000","3,250,000",both,C,12,75.0,215.0,1/9/94
Roope Hintz,DAL,74,37,38,75,32,15,30,184,65,67,47,38,26,44,249,230,51.98,2023,"7,500,000","8,450,000",both,LW,24,75.0,212.0,11/17/96
Ryan Suter,DAL,82,3,21,24,-1,13,26,93,85,61,81,45,23,116,0,0,0.0,2023,"4,300,000","3,650,000",both,D,20,73.0,201.0,1/21/85
Jamie Benn,DAL,82,33,46,79,23,14,34,190,78,61,96,48,55,38,518,344,60.09,2023,"1,000,000","9,500,000",both,LW,14,74.0,205.0,7/18/89
Esa Lindell,DAL,82,8,16,24,31,5,10,116,82,33,86,56,31,147,0,0,0.0,2023,"5,000,000","5,800,000",both,D,23,75.0,216.0,5/23/94
Marco Rossi,MIN,20,0,1,1,-7,4,8,13,7,8,6,2,5,9,69,77,47.26,2023,"832,500","863,333",both,C,23,69.0,182.0,9/23/01
Jonas Brodin,MIN,61,3,11,14,12,15,30,91,56,35,50,23,27,130,0,0,0.0,2023,"8,000,000","6,000,000",both,D,25,74.0,196.0,7/12/93
Mats Zuccarello,MIN,78,22,46,68,-2,13,26,201,104,82,51,44,45,51,24,36,40.0,2023,"3,000,000","6,000,000",both,RW,36,68.0,181.0,9/1/87
Ryan Hartman,MIN,59,15,21,36,7,34,90,149,50,75,62,32,30,48,243,321,43.09,2023,"2,000,000","1,700,000",both,RW,38,72.0,197.0,9/20/94
Kirill Kaprizov,MIN,67,42,34,76,6,17,37,271,127,112,66,54,50,28,2,3,40.0,2023,"12,500,000","9,000,000",both,LW,97,70.0,202.0,4/26/97
Jared Spurgeon,MIN,79,11,23,34,33,7,14,149,77,63,66,20,15,180,0,0,0.0,2023,"8,000,000","7,575,000",both,D,46,69.0,166.0,11/29/89
Calen Addison,MIN,63,3,26,29,-17,11,22,79,49,29,19,21,10,38,0,0,0.0,2023,"825,000","825,000",both,D,2,71.0,173.0,4/11/00
Joel Eriksson Ek,MIN,78,23,37,60,4,22,44,246,61,88,119,14,44,55,683,702,49.31,2023,"6,000,000","5,250,000",both,C,14,75.0,207.0,1/29/97
Connor Dewar,MIN,81,6,12,18,-5,13,40,87,45,38,124,10,18,50,222,281,44.14,2023,"850,000","800,000",both,C,26,70.0,183.0,6/26/99
Marcus Foligno,MIN,66,7,14,21,-6,26,97,83,28,41,237,25,27,40,7,7,50.0,2023,"4,100,000","3,100,000",both,LW,17,75.0,226.0,8/10/91
Brandon Duhaime,MIN,51,9,1,10,6,15,42,81,24,35,146,10,19,18,4,10,28.57,2023,"1,100,000","1,100,000",both,RW,21,74.0,200.0,5/22/97
Josh Mahura,FLA,82,4,12,16,16,15,38,80,76,41,101,25,12,71,0,0,0.0,2023,"925,000","925,000",both,D,28,72.0,193.0,5/5/98
Anton Lundell,FLA,75,12,21,33,1,19,43,152,63,42,29,41,37,32,269,309,46.54,2023,"832,500","925,000",both,C,15,73.0,190.0,10/3/01
Aleksander Barkov,FLA,69,23,54,77,11,4,8,208,65,72,52,38,56,47,732,602,54.87,2023,"1,000,000","10,000,000",both,C,16,75.0,215.0,9/2/95
Casey Cizikas,NYI,81,6,15,21,1,20,49,109,40,38,188,28,35,58,500,439,53.25,2023,"2,500,000","2,500,000",both,C,53,71.0,194.0,2/27/91
Kyle Palmieri,NYI,55,16,16,32,13,12,24,121,58,59,76,20,13,18,9,16,36.0,2023,"5,000,000","5,000,000",both,RW,21,71.0,196.0,2/1/91
Matthew Tkachuk,FLA,79,40,69,109,27,36,113,316,113,99,68,62,38,33,13,16,44.83,2023,"1,000,000","9,500,000",both,LW,19,74.0,206.0,12/11/97
Mathew Barzal,NYI,58,14,38,52,7,11,22,139,59,56,25,68,48,33,105,188,35.84,2023,"9,150,000","9,150,000",both,C,13,73.0,190.0,5/26/97
Carter Verhaeghe,FLA,81,42,32,74,11,24,48,275,116,77,29,56,34,31,20,21,48.78,2023,"4,500,000","4,166,667",both,C,23,74.0,180.0,8/14/95
Jean-Gabriel Pageau,NYI,70,13,27,40,-2,7,14,123,30,49,175,35,33,62,717,535,57.27,2023,"4,500,000","5,000,000",both,C,44,71.0,185.0,11/11/92
Ryan Pulock,NYI,82,5,21,26,10,7,14,126,112,59,140,37,22,127,0,0,0.0,2023,"6,150,000","6,150,000",both,D,6,74.0,216.0,10/6/94
Eetu Luostarinen,FLA,82,17,24,41,17,12,28,133,53,56,64,43,47,53,175,243,41.87,2023,"1,500,000","1,500,000",both,C,27,75.0,190.0,9/2/98
Adam Pelech,NYI,61,6,15,21,14,18,36,98,78,55,77,38,31,108,0,0,0.0,2023,"5,750,000","5,750,000",both,D,3,75.0,210.0,8/16/94
Alexander Romanov,NYI,76,2,20,22,13,20,43,100,101,34,198,54,25,129,0,0,0.0,2023,"2,500,000","2,500,000",both,D,28,73.0,215.0,1/6/00
Nick Cousins,FLA,79,9,19,28,-3,16,38,101,39,35,87,18,20,36,71,74,48.97,2023,"775,000","1,100,000",both,C,21,71.0,186.0,7/20/93
Ryan Lomberg,FLA,82,12,7,19,-1,29,83,132,28,55,149,13,30,25,15,15,50.0,2023,"825,000","800,000",both,LW,94,69.0,184.0,12/9/94
Gustav Forsling,FLA,82,13,29,42,17,20,40,209,139,65,69,47,40,101,0,0,0.0,2023,"3,500,000","2,666,667",both,D,42,72.0,195.0,6/12/96
Noah Dobson,NYI,78,13,36,49,4,10,20,206,172,102,60,49,39,105,0,0,0.0,2023,"4,000,000","4,000,000",both,D,8,76.0,200.0,1/7/00
Sam Reinhart,FLA,82,31,36,67,-12,7,22,224,77,101,58,38,35,50,236,228,50.86,2023,"4,500,000","6,500,000",both,C,13,74.0,193.0,11/6/95
Brock Nelson,NYI,82,37,38,75,14,12,24,223,118,76,50,40,48,42,490,547,47.25,2023,"5,600,000","6,000,000",both,C,29,76.0,210.0,10/15/91
Anders Lee,NYI,82,28,21,49,-2,22,50,211,33,89,125,35,25,57,27,24,52.94,2023,"8,950,000","7,000,000",both,LW,27,75.0,227.0,7/3/90
Scott Mayfield,NYI,82,6,19,25,8,30,73,119,122,54,107,64,21,168,1,0,100.0,2023,"3,500,000","3,500,000",both,D,24,77.0,220.0,10/14/92
Matt Martin,NYI,81,7,12,19,3,17,63,81,39,41,295,20,15,42,9,18,33.33,2023,"1,500,000","1,500,000",both,LW,17,75.0,215.0,5/8/89
Peyton Krebs,BUF,74,9,17,26,-9,21,50,76,32,31,93,28,19,19,252,304,45.32,2023,"832,500","863,333",both,C,19,72.0,187.0,1/26/01
Mark Kastelic,OTT,66,7,4,11,-5,23,102,73,19,27,154,15,19,36,335,254,56.88,2023,"800,000","835,000",both,C,12,75.0,233.0,3/11/99
Henri Jokiharju,BUF,60,3,9,12,-13,15,30,79,50,24,63,33,20,58,0,0,0.0,2023,"2,600,000","2,500,000",both,D,10,72.0,200.0,6/17/99
Rasmus Dahlin,BUF,78,15,57,72,12,42,92,204,110,63,105,61,45,135,0,0,0.0,2023,"7,200,000","6,000,000",both,D,26,75.0,202.0,4/13/00
Dylan Cozens,BUF,81,31,37,68,-2,18,39,212,62,62,55,20,36,31,567,607,48.3,2023,"5,100,000","7,100,000",both,C,24,75.0,195.0,2/9/01
Thomas Chabot,OTT,69,11,29,40,-11,27,54,168,126,64,79,65,19,122,0,0,0.0,2023,"8,000,000","8,000,000",both,D,72,74.0,195.0,1/30/97
Zemgus Girgensons,BUF,80,10,8,18,-5,7,14,114,35,53,96,8,22,48,94,112,45.63,2023,"2,500,000","2,500,000",both,LW,28,74.0,200.0,1/5/94
Travis Hamonic,OTT,76,6,16,22,-5,30,71,135,98,44,109,64,22,143,0,0,0.0,2023,"1,100,000","1,100,000",both,D,23,73.0,200.0,8/16/90
Kyle Okposo,BUF,76,11,17,28,-7,17,34,150,50,40,78,22,28,24,164,187,46.72,2023,"2,500,000","2,500,000",both,RW,21,72.0,218.0,4/16/88
Alex Tuch,BUF,74,36,43,79,15,10,20,219,55,91,54,38,63,46,32,43,42.67,2023,"4,750,000","4,750,000",both,RW,89,76.0,219.0,5/10/96
Jake Sanderson,OTT,77,4,28,32,-7,6,12,131,87,60,43,52,33,146,0,0,0.0,2023,"832,500","925,000",both,D,85,75.0,195.0,7/8/02
Artem Zub,OTT,53,3,7,10,2,18,39,41,46,22,132,31,8,67,0,0,0.0,2023,"4,000,000","4,600,000",both,D,2,74.0,200.0,10/3/95
Mathieu Joseph,OTT,56,3,15,18,5,14,36,67,30,29,80,18,24,28,3,6,33.33,2023,"2,700,000","2,950,000",both,RW,21,73.0,187.0,2/9/97
Tage Thompson,BUF,78,47,47,94,5,18,39,297,133,117,55,40,43,26,350,465,42.94,2023,"5,142,858","7,142,857",both,C,72,78.0,220.0,10/30/97
